X,Y,Z
1481946.217845,15850461.979560,-5197876.841374
1018135.157304,15691240.202115,-5385972.627033
888200.165497,15208103.768913,-5715834.136583
901147.065478,14342039.094879,-5970748.719087
922146.718068,12979024.263780,-6000069.351175
891820.908842,11109245.815064,-5689644.694821
795943.812411,8931760.742158,-5025547.206310
645186.205258,6661196.910045,-4072444.492019
458463.617217,4440812.647019,-2924504.259373
258158.524227,2369924.200296,-1700557.635256
63247.467546,494134.843829,-508803.706973
-113953.681216,-1180671.365087,575412.491409
-267721.092294,-2669224.641511,1514031.692474
-396631.068128,-3991963.535948,2295887.745038
-501371.482759,-5168789.815406,2924785.803020
-583580.469734,-6217916.552347,3412194.612738
-645419.330402,-7155877.724433,3773479.478785
-689401.016640,-7997442.286421,4025913.697440
-718273.641099,-8755472.590106,4187433.534458
-734870.599176,-9440879.667948,4275659.216635
-741959.901000,-10062767.775929,4307242.116878
-742099.247190,-10628651.959903,4297279.430858
-737533.164458,-11144738.359067,4258991.737499
-730144.883267,-11616192.711820,4203570.393548
-721436.282329,-12047355.481732,4140121.719223
